Category,German,Article,English,FigureOfSpeech,ExamplesGerman,ExamplesEnglish
Verbs (basic),essen,,to eat,verb,Ich möchte essen.; Wir essen heute Abend zusammen.; Sie isst gern Obst.,I would like to eat.; We are eating together tonight.; She likes to eat fruit.
Verbs (basic),trinken,,to drink,verb,Ich möchte trinken.; Er trinkt jeden Morgen Kaffee.; Möchtest du etwas trinken?,I would like to drink.; He drinks coffee every morning.; Would you like something to drink?
Verbs (basic),helfen,,to help,verb,Ich möchte helfen.; Kannst du mir bitte helfen?; Er hilft seiner Schwester bei den Hausaufgaben.,I want to help.; Can you please help me?; He helps his sister with the homework.
Verbs (basic),bleiben,,to stay,verb,Ich möchte bleiben.; Wir bleiben heute zu Hause.; Bitte bleib noch ein bisschen.,I want to stay.; We are staying home today.; Please stay a little longer.
Verbs (basic),stehen,,to stand,verb,Ich möchte stehen.; Er steht vor der Tür.; Alle Gäste stehen in der Schlange.,I want to stand.; He is standing in front of the door.; All guests are standing in line.
Verbs (basic),sitzen,,to sit,verb,Ich möchte sitzen.; Sie sitzt auf dem Stuhl.; Wir saßen den ganzen Abend zusammen.,I want to sit.; She is sitting on the chair.; We sat together the whole evening.
Verbs (basic),liegen,,to lie,verb,Ich möchte liegen.; Das Buch liegt auf dem Tisch.; Er liegt im Bett und liest.,I want to lie down.; The book is lying on the table.; He is lying in bed and reading.
Verbs (basic),schreiben,,to write,verb,Ich möchte schreiben.; Sie schreibt einen Brief.; Wir schreiben jeden Tag E-Mails.,I want to write.; She is writing a letter.; We write emails every day.
Verbs (basic),lesen,,to read,verb,Ich möchte lesen.; Er liest gern Bücher.; Wir lesen die Zeitung jeden Morgen.,I want to read.; He likes to read books.; We read the newspaper every morning.
Verbs (basic),fahren,,to drive/ride,verb,Ich möchte fahren.; Sie fährt mit dem Fahrrad zur Arbeit.; Wir fahren morgen in den Urlaub.,I want to drive/ride.; She rides her bike to work.; We are driving on vacation tomorrow.
Verbs (basic),laufen,,to run,verb,"Ich möchte laufen.; Er läuft jeden Morgen im Park.; Wir laufen zum Bus, um ihn nicht zu verpassen.",I want to run.; He runs every morning in the park.; We run to the bus so we don't miss it.
Verbs (basic),schlafen,,to sleep,verb,Ich möchte schlafen.; Sie schläft tief und fest.; Nach dem langen Tag schliefen alle schnell ein.,"I want to sleep.; She is sleeping deeply.; After the long day, everyone fell asleep quickly."
Verbs (basic),öffnen,,to open,verb,Ich möchte öffnen.; Kannst du bitte das Fenster öffnen?; Er öffnete die Tür langsam.,I want to open.; Can you please open the window?; He opened the door slowly.
Verbs (basic),schließen,,to close,verb,Ich möchte schließen.; Bitte schließe das Buch.; Sie schloss das Fenster wegen des Regens.,I want to close.; Please close the book.; She closed the window because of the rain.
Verbs (basic),beginnen,,to begin,verb,Ich möchte beginnen.; Das Konzert beginnt um acht Uhr.; Wir beginnen morgen mit dem Projekt.,I want to begin.; The concert starts at eight o'clock.; We will begin the project tomorrow.
Verbs (basic),enden,,to end,verb,Ich möchte enden.; Der Film endet um zehn Uhr.; Das Meeting endete früher als geplant.,I want to end.; The movie ends at ten o'clock.; The meeting ended earlier than planned.
Verbs (basic),kaufen,,to buy,verb,Ich möchte kaufen.; Sie kauft jeden Samstag frisches Obst.; Wir kaufen ein neues Auto.,I want to buy.; She buys fresh fruit every Saturday.; We are buying a new car.
Verbs (basic),verkaufen,,to sell,verb,Ich möchte verkaufen.; Sie verkauft ihr Auto.; Wir verkaufen frisches Obst auf dem Markt.,I want to sell.; She sells her car.; We sell fresh fruit at the market.
Verbs (basic),bezahlen,,to pay,verb,Ich möchte bezahlen.; Kannst du die Rechnung bezahlen?; Er bezahlt immer pünktlich.,I want to pay.; Can you pay the bill?; He always pays on time.
Verbs (basic),kosten,,to cost,verb,Ich möchte kosten.; Das Buch kostet zehn Euro.; Wie viel kostet der Mantel?,I want to taste/try.; The book costs ten euros.; How much does the coat cost?
Verbs (basic),zeigen,,to show,verb,Ich möchte zeigen.; Kannst du mir den Weg zeigen?; Er zeigt seine Fotos im Internet.,I want to show.; Can you show me the way?; He shows his photos on the internet.
Verbs (basic),arbeiten,,to work,verb,Ich möchte arbeiten.; Sie arbeitet in einem Krankenhaus.; Wir arbeiten jeden Tag von neun bis fünf.,I want to work.; She works in a hospital.; We work every day from nine to five.
Verbs (basic),wohnen,,to live/reside,verb,Ich möchte wohnen.; Ich wohne in Berlin.; Sie wohnen in einem großen Haus.,I want to live.; I live in Berlin.; They live in a big house.
Verbs (basic),glauben,,to believe,verb,"Ich möchte glauben.; Ich glaube an dich.; Sie glaubt, dass alles gut wird.",I want to believe.; I believe in you.; She believes that everything will be fine.
Verbs (basic),brauchen,,to need,verb,Ich möchte brauchen.; Ich brauche Hilfe.; Wir brauchen mehr Zeit.,I want to need.; I need help.; We need more time.
Verbs (basic),hoffen,,to hope,verb,"Ich möchte hoffen.; Ich hoffe auf gutes Wetter.; Wir hoffen, dass du kommst.",I want to hope.; I hope for good weather.; We hope that you come.
Verbs (basic),danken,,to thank,verb,Ich möchte danken.; Ich danke dir für deine Hilfe.; Wir danken allen Gästen.,I want to thank.; I thank you for your help.; We thank all the guests.
Verbs (basic),reisen,,to travel,verb,Ich möchte reisen.; Sie reist gern nach Asien.; Wir reisen nächsten Sommer nach Spanien.,I want to travel.; She likes to travel to Asia.; We are traveling to Spain next summer.
Verbs (basic),schwimmen,,to swim,verb,Ich möchte schwimmen.; Er schwimmt jeden Morgen im See.; Wir schwimmen im Schwimmbad.,I want to swim.; He swims every morning in the lake.; We swim in the swimming pool.
Verbs (basic),tanzen,,to dance,verb,Ich möchte tanzen.; Sie tanzt gern Salsa.; Wir tanzen auf der Party.,I want to dance.; She likes to dance salsa.; We dance at the party.
Verbs (basic),beginnen,,to start,verb,Ich möchte beginnen.; Der Kurs beginnt um acht Uhr.; Wir beginnen mit dem Projekt morgen.,I want to start.; The course starts at eight o'clock.; We start the project tomorrow.
Adjectives (common),gut,,good,adjective,Das ist gut.; Das Essen schmeckt gut.; Er ist ein guter Freund.,That is good.; The food tastes good.; He is a good friend.
Adjectives (common),schlecht,,bad,Adjective,Das ist schlecht.; Das Wetter ist heute schlecht.; Er fühlt sich schlecht nach dem Essen.,That is bad.; The weather is bad today.; He feels bad after eating.
Adjectives (common),klein,,small,Adjective,Das ist klein.; Mein Hund ist sehr klein.; Wir haben eine kleine Wohnung.,That is small.; My dog is very small.; We have a small apartment.
Adjectives (common),groß,,big,Adjective,Das ist groß.; Das Haus ist sehr groß.; Sie hat große Pläne für die Zukunft.,That is big.; The house is very big.; She has big plans for the future.
Adjectives (common),neu,,new,Adjective,Das ist neu.; Ich habe ein neues Auto gekauft.; Das neue Restaurant ist sehr beliebt.,That is new.; I bought a new car.; The new restaurant is very popular.
Adjectives (common),alt,,old,Adjective,Das ist alt.; Das alte Buch liegt auf dem Tisch.; Mein Großvater ist sehr alt.,That is old.; The old book is on the table.; My grandfather is very old.
Adjectives (common),jung,,young,Adjective,Das ist jung.; Die junge Katze spielt im Garten.; Er ist noch jung und hat viel Energie.,That is young.; The young cat is playing in the garden.; He is still young and has a lot of energy.
Adjectives (common),schön,,beautiful,Adjective,Das ist schön.; Der Sonnenuntergang ist sehr schön.; Sie hat ein schönes Lächeln.,That is beautiful.; The sunset is very beautiful.; She has a beautiful smile.
Adjectives (common),hässlich,,ugly,Adjective,"Das ist hässlich.; Der Hund sieht hässlich aus, aber er ist freundlich.; Das Bild ist hässlich gemalt.","That is ugly.; The dog looks ugly, but he is friendly.; The painting is ugly."
Adjectives (common),billig,,cheap,Adjective,Das ist billig.; Dieses Hemd war sehr billig.; Billige Produkte sind oft von schlechter Qualität.,That is cheap.; This shirt was very cheap.; Cheap products are often of poor quality.
Adjectives (common),teuer,,expensive,Adjective,Das ist teuer.; Die Uhr ist sehr teuer.; Teure Restaurants bieten oft exzellenten Service.,That is expensive.; The watch is very expensive.; Expensive restaurants often offer excellent service.
Adjectives (common),langsam,,slow,Adjective,"Das ist langsam.; Der Zug fährt heute langsam.; Er spricht langsam, damit alle ihn verstehen.",That is slow.; The train is going slow today.; He speaks slowly so everyone can understand him.
Adjectives (common),schnell,,fast,Adjective,"Das ist schnell.; Der Sportwagen ist sehr schnell.; Sie läuft schnell, um den Bus zu erreichen.",That is fast.; The sports car is very fast.; She runs fast to catch the bus.
Adjectives (common),hell,,bright,Adjective,Das ist hell.; Das Zimmer ist hell und freundlich.; Die Lampe macht das Büro hell.,That is bright.; The room is bright and friendly.; The lamp makes the office bright.
Adjectives (common),dunkel,,dark,Adjective,Das ist dunkel.; Der Keller ist dunkel und feucht.; Sie mag dunkle Farben.,That is dark.; The basement is dark and damp.; She likes dark colors.
Adjectives (common),warm,,warm,Adjective,Das ist warm.; Heute ist das Wetter warm und sonnig.; Ich trinke gerne warmen Tee im Winter.,That is warm.; Today the weather is warm and sunny.; I like to drink warm tea in winter.
Adjectives (common),kalt,,cold,adjective,Das ist kalt.; Heute ist das Wetter sehr kalt.; Ich trinke gerne kaltes Wasser im Sommer.,That is cold.; Today the weather is very cold.; I like to drink cold water in summer.
Adjectives (common),freundlich,,friendly,adjective,Das ist freundlich.; Der Verkäufer war sehr freundlich zu mir.; Sie hat immer ein freundliches Lächeln.,That is friendly.; The salesman was very friendly to me.; She always has a friendly smile.
Adjectives (common),fremd,,strange/foreign,adjective,Das ist fremd.; Ich fühle mich in einer fremden Stadt oft unsicher.; Seine Sprache klingt für mich fremd.,That is strange/foreign.; I often feel insecure in a foreign city.; His language sounds strange to me.
Adjectives (common),leicht,,easy/light,adjective,Das ist leicht.; Diese Aufgabe ist sehr leicht zu lösen.; Die Tasche ist leicht und einfach zu tragen.,That is easy/light.; This task is very easy to solve.; The bag is light and easy to carry.
Adjectives (common),schwer,,difficult/heavy,adjective,Das ist schwer.; Die Prüfung war sehr schwer.; Der Koffer ist schwer zu heben.,That is difficult/heavy.; The exam was very difficult.; The suitcase is heavy to lift.
Adjectives (common),wichtig,,important,adjective,"Das ist wichtig.; Es ist wichtig, pünktlich zu sein.; Deine Meinung ist mir sehr wichtig.",That is important.; It is important to be punctual.; Your opinion is very important to me.
Adjectives (common),müde,,tired,adjective,Das ist müde.; Ich bin nach dem langen Tag sehr müde.; Sie wirkt müde und braucht Ruhe.,That is tired.; I am very tired after the long day.; She looks tired and needs rest.
Adjectives (common),hungrig,,hungry,adjective,Das ist hungrig.; Ich bin hungrig und möchte etwas essen.; Die Kinder im Park sehen hungrig aus.,That is hungry.; I am hungry and want to eat something.; The children in the park look hungry.
Adjectives (common),durstig,,thirsty,adjective,Das ist durstig.; Nach dem Sport bin ich immer durstig.; Er hat Durst und trinkt ein Glas Wasser.,"That is thirsty.; After sports, I am always thirsty.; He is thirsty and drinks a glass of water."
Adjectives (common),frei,,free,adjective,Das ist frei.; Der Platz ist noch frei.; Ich habe morgen den ganzen Tag frei.,That is free.; The seat is still free.; I have the whole day off tomorrow.
Adjectives (common),besetzt,,occupied,adjective,Das ist besetzt.; Die Toilette ist gerade besetzt.; Alle Plätze im Kino sind besetzt.,That is occupied.; The toilet is currently occupied.; All seats in the cinema are occupied.
Adjectives (common),richtig,,correct,adjective,"Das ist richtig.; Du hast die richtige Antwort gegeben.; Es ist wichtig, die richtigen Entscheidungen zu treffen.",That is correct.; You gave the correct answer.; It is important to make the right decisions.
Adjectives (common),falsch,,wrong,adjective,Das ist falsch.; Deine Berechnung ist falsch.; Er hat die falsche Richtung genommen.,That is wrong.; Your calculation is wrong.; He took the wrong direction.
Adjectives (common),glücklich,,happy,adjective,"Das ist glücklich.; Sie sieht heute sehr glücklich aus.; Ich bin glücklich, dich zu sehen.",That is happy.; She looks very happy today.; I am happy to see you.
Adjectives (common),traurig,,sad,adjective,Das ist traurig.; Er war nach den Nachrichten sehr traurig.; Manchmal fühle ich mich traurig ohne Grund.,That is sad.; He was very sad after the news.; Sometimes I feel sad without reason.
Adjectives (common),ruhig,,quiet,adjective,Das ist ruhig.; Der Park ist heute sehr ruhig.; Bitte sei ruhig während des Films.,That is quiet.; The park is very quiet today.; Please be quiet during the movie.
Adjectives (common),laut,,loud,adjective,Das ist laut.; Die Musik ist zu laut.; Seine Stimme war laut und klar.,That is loud.; The music is too loud.; His voice was loud and clear.
Adjectives (common),sauber,,clean,adjective,Das ist sauber.; Das Zimmer ist sehr sauber.; Bitte halte die Küche sauber.,That is clean.; The room is very clean.; Please keep the kitchen clean.
Adjectives (common),schmutzig,,dirty,adjective,Das ist schmutzig.; Die Kleidung ist schmutzig nach dem Spiel.; Der Boden ist sehr schmutzig.,That is dirty.; The clothes are dirty after the game.; The floor is very dirty.
Adjectives (common),gesund,,healthy,adjective,Das ist gesund.; Er isst jeden Tag gesund.; Eine gesunde Ernährung ist wichtig.,That is healthy.; He eats healthy every day.; A healthy diet is important.
Adjectives (common),krank,,ill,adjective,Das ist krank.; Sie ist heute krank und bleibt zu Hause.; Er fühlt sich krank und müde.,That is ill.; She is sick today and stays at home.; He feels ill and tired.
Adjectives (common),geöffnet,,open,adjective,Das ist geöffnet.; Der Laden ist jetzt geöffnet.; Die Tür bleibt den ganzen Tag geöffnet.,That is open.; The shop is open now.; The door stays open all day.
Adjectives (common),geschlossen,,closed,adjective,Das ist geschlossen.; Das Museum ist heute geschlossen.; Die Fenster sind geschlossen wegen des Sturms.,That is closed.; The museum is closed today.; The windows are closed because of the storm.
Adjectives (common),spät,,late,adjective,Das ist spät.; Er kam zu spät zum Termin.; Es ist schon spät am Abend.,That is late.; He came late to the appointment.; It is already late in the evening.
Adjectives (common),pünktlich,,punctual,adjective,Das ist pünktlich.; Sie ist immer pünktlich zur Arbeit.; Der Zug ist pünktlich angekommen.,That is punctual.; She is always punctual to work.; The train arrived on time.
Pronouns & Prepositions,ich,,I,pronoun,Ich lerne Deutsch.; Ich gehe heute ins Kino.; Ich habe Hunger.,I am learning German.; I am going to the cinema today.; I am hungry.
Pronouns & Prepositions,du,,you (singular informal),pronoun,Du sprichst Englisch.; Du bist mein bester Freund.; Kannst du mir helfen?,You speak English.; You are my best friend.; Can you help me?
Pronouns & Prepositions,er,,he,pronoun,Er arbeitet hier.; Er spielt gern Fußball.; Er ist sehr freundlich.,He works here.; He likes playing soccer.; He is very friendly.
Pronouns & Prepositions,sie,,she,pronoun,Sie kommt aus Berlin.; Sie liest ein Buch.; Sie ist meine Schwester.,She comes from Berlin.; She is reading a book.; She is my sister.
Pronouns & Prepositions,es,,it,pronoun,Es ist kalt.; Es regnet heute.; Es gefällt mir sehr.,It is cold.; It is raining today.; I like it very much.
Pronouns & Prepositions,wir,,we,pronoun,Wir gehen ins Kino.; Wir haben heute viel zu tun.; Wir sind bereit für die Prüfung.,We are going to the cinema.; We have a lot to do today.; We are ready for the exam.
Pronouns & Prepositions,ihr,,you (plural informal),pronoun,Ihr seid müde.; Habt ihr das Buch gelesen?; Ihr könnt jederzeit anrufen.,You are tired.; Have you read the book?; You can call anytime.
Pronouns & Prepositions,Sie,,you (formal),pronoun,Sie haben einen Termin.; Haben Sie einen Moment Zeit?; Sie können hier parken.,You have an appointment.; Do you have a moment?; You can park here.
Pronouns & Prepositions,mich,,me,pronoun (accusative),Mich ist wichtig.; Er sieht mich nicht.; Kannst du mich hören?,"(Note: 'Mich ist wichtig.' is unidiomatic in German, but given as is.); He does not see me.; Can you hear me?"
Pronouns & Prepositions,dich,,you (accusative),pronoun (accusative),Dich ist wichtig.; Ich sehe dich morgen.; Ich habe dich vermisst.,"(Note: 'Dich ist wichtig.' is unidiomatic in German, but given as is.); I will see you tomorrow.; I have missed you."
Pronouns & Prepositions,mein,,my,possessive pronoun/determiner,Mein ist wichtig.; Das ist mein Auto.; Mein Hund ist sehr freundlich.,"(Note: 'Mein ist wichtig.' is unidiomatic in German, but given as is.); That is my car.; My dog is very friendly."
Pronouns & Prepositions,dein,,your (informal),possessive pronoun/determiner,Dein ist wichtig.; Ist das dein Buch?; Dein Haus ist schön.,"(Note: 'Dein ist wichtig.' is unidiomatic in German, but given as is.); Is that your book?; Your house is beautiful."
Pronouns & Prepositions,sein,,his/its,possessive pronoun/determiner,Sein ist wichtig.; Das ist sein Fahrrad.; Sein Name ist Thomas.,"(Note: 'Sein ist wichtig.' is unidiomatic in German, but given as is.); That is his bike.; His name is Thomas."
Pronouns & Prepositions,ihr,,her/their,possessive pronoun/determiner,Ihr seid müde.; Das ist ihr Haus.; Ihre Kinder sind nett.,You are tired.; That is her/their house.; Their children are nice.
Pronouns & Prepositions,unser,,our,possessive pronoun/determiner,Unser ist wichtig.; Das ist unser Garten.; Unsere Freunde kommen heute.,"(Note: 'Unser ist wichtig.' is unidiomatic in German, but given as is.); That is our garden.; Our friends are coming today."
Pronouns & Prepositions,dies,,this,demonstrative pronoun,Dies ist wichtig.; Dies ist mein Lieblingsbuch.; Ich mag dies sehr.,This is important.; This is my favorite book.; I like this very much.
Pronouns & Prepositions,das,das,that/this,article / demonstrative pronoun,Das ist wichtig.; Ich kenne das nicht.; Das Haus ist groß.,That is important.; I don't know that.; The house is big.
Pronouns & Prepositions,ein,,a/an,indefinite article / pronoun,Ein ist wichtig.; Ich habe ein Buch.; Ein Kind spielt im Garten.,"(Note: 'Ein ist wichtig.' is unidiomatic in German, but given as is.); I have a book.; A child is playing in the garden."
Pronouns & Prepositions,kein,,no/none,negative article / pronoun,Kein ist wichtig.; Ich habe kein Geld.; Kein Auto steht vor dem Haus.,"(Note: 'Kein ist wichtig.' is unidiomatic in German, but given as is.); I have no money.; No car is in front of the house."
Pronouns & Prepositions,alle,,all,pronoun / determiner,Alle ist wichtig.; Alle sind eingeladen.; Alle haben das Spiel genossen.,"(Note: 'Alle ist wichtig.' is unidiomatic in German, but given as is.); Everyone is invited.; All enjoyed the game."
Pronouns & Prepositions,jeder,,every,pronoun/determiner,Jeder ist wichtig.; Jeder Mensch hat Träume.; Jeder Tag bringt neue Chancen.,Everyone is important.; Every person has dreams.; Every day brings new opportunities.
Pronouns & Prepositions,man,,one/people,pronoun,"Man ist wichtig.; Man sollte immer ehrlich sein.; Man kann viel lernen, wenn man zuhört.",One is important.; One should always be honest.; One can learn a lot when one listens.
Pronouns & Prepositions,wer,,who,pronoun,Wer ist wichtig.; Wer hat an der Tür geklopft?; Wer möchte mitkommen?,Who is important.; Who knocked at the door?; Who wants to come along?
Pronouns & Prepositions,was,,what,pronoun,Was ist wichtig.; Was machst du heute?; Was hast du gesagt?,What is important.; What are you doing today?; What did you say?
Pronouns & Prepositions,wo,,where,adverb/pronoun,Wo ist wichtig.; Wo wohnst du?; Wo treffen wir uns?,Where is important.; Where do you live?; Where shall we meet?
Pronouns & Prepositions,woher,,from where,adverb,Woher ist wichtig.; Woher kommst du?; Woher weißt du das?,From where is important.; Where do you come from?; How do you know that?
Pronouns & Prepositions,wohin,,to where,adverb,Wohin ist wichtig.; Wohin gehst du?; Wohin soll ich das bringen?,To where is important.; Where are you going?; Where should I bring this?
Pronouns & Prepositions,warum,,why,adverb,Warum ist wichtig.; Warum bist du spät?; Warum machst du das?,Why is important.; Why are you late?; Why are you doing that?
Pronouns & Prepositions,wie,,how,adverb,Wie ist wichtig.; Wie geht es dir?; Wie funktioniert das?,How is important.; How are you?; How does that work?
Pronouns & Prepositions,wann,,when,adverb,Wann ist wichtig.; Wann kommst du nach Hause?; Wann beginnt der Film?,When is important.; When are you coming home?; When does the movie start?
Pronouns & Prepositions,auf,,on,preposition,Auf ist wichtig.; Das Buch liegt auf dem Tisch.; Wir warten auf den Bus.,On is important.; The book is on the table.; We are waiting for the bus.
Pronouns & Prepositions,unter,,under,preposition,Unter ist wichtig.; Die Katze sitzt unter dem Stuhl.; Wir gehen unter dem Tunnel durch.,Under is important.; The cat is sitting under the chair.; We go through under the tunnel.
Pronouns & Prepositions,neben,,next to,preposition,Neben ist wichtig.; Das Café ist neben der Bank.; Sie sitzt neben mir.,Next to is important.; The café is next to the bank.; She is sitting next to me.
Pronouns & Prepositions,vor,,in front of,preposition,Vor ist wichtig.; Das Auto steht vor dem Haus.; Wir treffen uns vor dem Kino.,In front of is important.; The car is in front of the house.; We meet in front of the cinema.
Pronouns & Prepositions,hinter,,behind,preposition,Hinter ist wichtig.; Der Garten liegt hinter dem Haus.; Das Kind versteckt sich hinter dem Baum.,Behind is important.; The garden is behind the house.; The child is hiding behind the tree.
Pronouns & Prepositions,zwischen,,between,Preposition,Zwischen ist wichtig.; Das Buch liegt zwischen den beiden Stühlen.; Sie konnte sich nicht zwischen Rot und Blau entscheiden.,Between is important.; The book lies between the two chairs.; She couldn't decide between red and blue.
Pronouns & Prepositions,in,,in/into,Preposition,In ist wichtig.; Ich gehe in das Haus.; Die Schlüssel sind in der Tasche.,In is important.; I am going into the house.; The keys are in the bag.
Pronouns & Prepositions,an,,at/on (vertical),Preposition,An ist wichtig.; Das Bild hängt an der Wand.; Wir treffen uns an der Haltestelle.,At/on is important.; The picture hangs on the wall.; We meet at the bus stop.
Pronouns & Prepositions,über,,over/about,Preposition,Über ist wichtig.; Das Flugzeug fliegt über die Stadt.; Wir sprechen über das neue Projekt.,Over/about is important.; The airplane flies over the city.; We are talking about the new project.
Pronouns & Prepositions,aus,,out of/from,Preposition,Aus ist wichtig.; Er kommt aus Deutschland.; Die Milch läuft aus der Flasche.,Out of/from is important.; He comes from Germany.; The milk is leaking out of the bottle.
Pronouns & Prepositions,mit,,with,Preposition,Mit ist wichtig.; Ich gehe mit meinem Freund ins Kino.; Sie schreibt mit einem blauen Stift.,With is important.; I am going to the cinema with my friend.; She writes with a blue pen.
Pronouns & Prepositions,ohne,,without,Preposition,Ohne ist wichtig.; Er geht ohne Jacke nach draußen.; Ich kann nicht ohne meinen Laptop arbeiten.,Without is important.; He goes outside without a jacket.; I cannot work without my laptop.
Pronouns & Prepositions,für,,for,Preposition,Für ist wichtig.; Das Geschenk ist für dich.; Wir kämpfen für Gerechtigkeit.,For is important.; The gift is for you.; We fight for justice.
Pronouns & Prepositions,gegen,,against,Preposition,Gegen ist wichtig.; Sie protestieren gegen die neuen Regeln.; Der Ball prallte gegen die Wand.,Against is important.; They protest against the new rules.; The ball bounced against the wall.
Pronouns & Prepositions,um,,around/at (time),Preposition,Um ist wichtig.; Wir treffen uns um acht Uhr.; Das Haus steht um den See.,Around/at is important.; We meet at eight o'clock.; The house stands around the lake.
Pronouns & Prepositions,bis,,until,Preposition,Bis ist wichtig.; Ich bleibe bis morgen hier.; Der Laden hat bis 20 Uhr geöffnet.,Until is important.; I stay here until tomorrow.; The store is open until 8 pm.
Pronouns & Prepositions,nach,,after/to,Preposition,Nach ist wichtig.; Wir fahren nach Berlin.; Nach dem Essen gehen wir spazieren.,"After/to is important.; We are going to Berlin.; After the meal, we go for a walk."
Pronouns & Prepositions,seit,,since,Preposition,Seit ist wichtig.; Ich wohne seit fünf Jahren hier.; Seit dem Unfall ist er vorsichtiger.,"Since is important.; I have lived here for five years.; Since the accident, he is more careful."
Pronouns & Prepositions,von,,from/of,Preposition,Von ist wichtig.; Das Geschenk ist von meiner Schwester.; Er hat von der Reise erzählt.,From/of is important.; The gift is from my sister.; He told about the trip.
Connectors,und,,and,Conjunction,"Ich esse Brot, und trinke ich Milch.; Er liest ein Buch und hört Musik.; Wir gehen ins Kino und danach essen wir.","I eat bread, and I drink milk.; He reads a book and listens to music.; We go to the cinema and afterwards we eat."
Connectors,oder,,or,conjunction,"Ich esse Brot, oder trinke ich Milch.; Möchtest du Tee oder Kaffee?; Wir gehen heute ins Kino oder bleiben zu Hause.","I eat bread, or I drink milk.; Do you want tea or coffee?; We are going to the cinema today or staying at home."
Connectors,aber,,but,conjunction,"Ich esse Brot, aber trinke ich Milch.; Ich möchte kommen, aber ich habe keine Zeit.; Das Wetter ist schön, aber es ist kalt.","I eat bread, but I drink milk.; I want to come, but I have no time.; The weather is nice, but it is cold."
Connectors,denn,,because,conjunction,"Ich esse Brot, denn trinke ich Milch.; Ich gehe nach Hause, denn es ist spät.; Er ist müde, denn er hat wenig geschlafen.","I eat bread, because I drink milk.; I am going home, because it is late.; He is tired, because he slept little."
Connectors,weil,,because,conjunction,"Ich esse Brot, weil trinke ich Milch.; Ich bleibe zu Hause, weil es regnet.; Sie geht früh ins Bett, weil sie morgen arbeiten muss.","I eat bread, because I drink milk.; I stay at home because it is raining.; She goes to bed early because she has to work tomorrow."
Connectors,dass,,that,conjunction,"Ich esse Brot, dass trinke ich Milch.; Ich weiß, dass du recht hast.; Er sagt, dass er morgen kommt.","I eat bread, that I drink milk.; I know that you are right.; He says that he is coming tomorrow."
Connectors,wenn,,if/when,conjunction,"Ich esse Brot, wenn trinke ich Milch.; Wenn es regnet, bleibe ich zu Hause.; Ich helfe dir, wenn du willst.","I eat bread, if/when I drink milk.; If it rains, I stay at home.; I will help you if you want."
Connectors,als,,when (past),conjunction,"Ich esse Brot, als trinke ich Milch.; Als ich jung war, spielte ich viel Fußball.; Er lachte, als er den Witz hörte.","I eat bread, when I drank milk.; When I was young, I played a lot of football.; He laughed when he heard the joke."
Connectors,ob,,whether,conjunction,"Ich esse Brot, ob trinke ich Milch.; Ich weiß nicht, ob er kommt.; Frag sie, ob sie mit uns geht.","I eat bread, whether I drink milk.; I don't know whether he is coming.; Ask her whether she is coming with us."
Connectors,trotzdem,,nevertheless,adverb/conjunction,"Ich esse Brot, trotzdem trinke ich Milch.; Es regnet, trotzdem gehe ich spazieren.; Er war krank, trotzdem ging er zur Arbeit.","I eat bread, nevertheless I drink milk.; It is raining, nevertheless I go for a walk.; He was sick, nevertheless he went to work."
Connectors,deshalb,,therefore,adverb/conjunction,"Ich esse Brot, deshalb trinke ich Milch.; Es ist kalt, deshalb ziehe ich eine Jacke an.; Er hat viel gelernt, deshalb hat er die Prüfung bestanden.","I eat bread, therefore I drink milk.; It is cold, therefore I put on a jacket.; He studied a lot, therefore he passed the exam."
Connectors,also,,so/therefore,adverb/conjunction,"Ich esse Brot, also trinke ich Milch.; Ich habe Hunger, also esse ich etwas.; Das Wetter ist schön, also gehen wir raus.","I eat bread, so I drink milk.; I am hungry, so I eat something.; The weather is nice, so we go outside."
Connectors,dann,,then,adverb/conjunction,"Ich esse Brot, dann trinke ich Milch.; Zuerst mache ich meine Hausaufgaben, dann spiele ich.; Wenn das Wetter gut ist, dann gehen wir spazieren.","I eat bread, then I drink milk.; First I do my homework, then I play.; If the weather is good, then we go for a walk."
Connectors,doch,,yet/however,conjunction/adverb,"Ich esse Brot, doch trinke ich Milch.; Es ist spät, doch ich bleibe wach.; Er ist müde, doch er arbeitet weiter.","I eat bread, yet I drink milk.; It is late, yet I stay awake.; He is tired, yet he keeps working."
Connectors,sondern,,but rather,conjunction,"Ich esse Brot, sondern trinke ich Milch.; Ich trinke keinen Kaffee, sondern Tee.; Er ist nicht faul, sondern sehr fleißig.","I eat bread, but rather I drink milk.; I don't drink coffee, but rather tea.; He is not lazy, but rather very hardworking."
Verbs (basic),hören,,to hear,verb,Ich kann Musik hören.; Kannst du das Geräusch hören?; Wir hören oft klassische Musik.,I can hear music.; Can you hear the noise?; We often listen to classical music.
Verbs (basic),schauen,,to look/watch,verb,Wir schauen einen Film.; Sie schaut aus dem Fenster.; Ich schaue dir zu.,We are watching a movie.; She is looking out of the window.; I watch you.
Verbs (basic),träumen,,to dream,verb,Ich träume von Urlaub.; Er träumt jede Nacht.; Wir träumen von einer besseren Zukunft.,I am dreaming of a vacation.; He dreams every night.; We dream of a better future.
Verbs (basic),frühstücken,,to have breakfast,verb,Wir frühstücken um acht Uhr.; Ich frühstücke jeden Morgen früh.; Sie frühstücken zusammen im Café.,We have breakfast at eight o'clock.; I have breakfast early every morning.; They have breakfast together in the café.
